audiocaps_id,caption,file_path,youtube_id,start_seconds,caption_label,anchor_filepath,rel_anchor_youtube_id,rel_anchor_start_seconds,syn1,syn2,q_anchor
9205,Knocking and mechanical humming with a cat purring and meowing,/audiocaps/train/9205.mp3,2gvtmPZBNqw,30,/m/0jbk,/audiocaps/test/105242.mp3,r2KhpX_QgXA,230,/audioldm2/train/9205.wav,/tango/train/9205.wav,/q_anchor/train/9205.mp3
31762,A man speaking,/audiocaps/train/31762.mp3,DKW1sDMZHXQ,30,/m/0dgw9r,/audiocaps/train/101211.mp3,ynJ8G5jQWmw,130,/audioldm2/train/31762.wav,/tango/train/31762.wav,/q_anchor/train/31762.mp3
18616,A baby cries and laughs,/audiocaps/train/18616.mp3,6lMQHr_RUOY,80,/m/0dgw9r,/audiocaps/train/80257.mp3,iwjIMn4FCD4,200,/audioldm2/train/18616.wav,/tango/train/18616.wav,/q_anchor/train/18616.mp3
51673,Something is placed on a hard surface and a photo is taken,/audiocaps/train/51673.mp3,PnUWQ2bMLHg,15,/t/dd00041,/audiocaps/train/2728.mp3,043rflfGhNQ,10,/audioldm2/train/51673.wav,/tango/train/51673.wav,/q_anchor/train/51673.mp3
83872,Waves splashing and gurgling continuously,/audiocaps/train/83872.mp3,lblJSeQ828A,0,/m/059j3w,/audiocaps/train/100971.mp3,yanEEt_CUFE,70,/audioldm2/train/83872.wav,/tango/train/83872.wav,/q_anchor/train/83872.mp3
91139,A woman talks nearby as water pours,/audiocaps/train/91139.mp3,r1nicOVtvkQ,130,/t/dd00041,/audiocaps/test/105176.mp3,ARFFw0e_jig,20,/audioldm2/train/91139.wav,/tango/train/91139.wav,/q_anchor/train/91139.mp3
10655,A woman speaks and a dog barks,/audiocaps/train/10655.mp3,3Hq7p0ZINfw,30,/m/0jbk,/audiocaps/test/107138.mp3,hJtOGmN_KVw,140,/audioldm2/train/10655.wav,/tango/train/10655.wav,/q_anchor/train/10655.mp3
1981,A male narrating about ducks while ducks quack,/audiocaps/train/1981.mp3,-lfLIOzNuYY,30,/m/0jbk,/audiocaps/train/17104.mp3,64CDu_Mjf1s,0,/audioldm2/train/1981.wav,/tango/train/1981.wav,/q_anchor/train/1981.mp3
8215,Man speaking and wind blowing,/audiocaps/train/8215.mp3,2IWOTUgQ5lk,20,/t/dd00041,/audiocaps/test/102893.mp3,_AcJVyToQUQ,60,/audioldm2/train/8215.wav,/tango/train/8215.wav,/q_anchor/train/8215.mp3
53200,Man speaking and sawing wood,/audiocaps/train/53200.mp3,QpoNbyp-aJI,10,/t/dd00041,/audiocaps/train/100381.mp3,y7gEpsO_AjQ,0,/audioldm2/train/53200.wav,/tango/train/53200.wav,/q_anchor/train/53200.mp3
9537,An electronic device is beeping rapidly,/audiocaps/train/9537.mp3,2pkVPCKj2Ss,2,/t/dd00098,/audiocaps/train/41380.mp3,J8EeF5I_otw,30,/audioldm2/train/9537.wav,/tango/train/9537.wav,/q_anchor/train/9537.mp3
5237,A vehicle's heavy engine idles,/audiocaps/train/5237.mp3,15N8sMskBnE,30,/t/dd00041,/audiocaps/test/21331.mp3,83j4GgHXTLE,210,/audioldm2/train/5237.wav,/tango/train/5237.wav,/q_anchor/train/5237.mp3
102638,A man speaks with insects buzzing nearby,/audiocaps/train/102638.mp3,zvtuR_8sgvI,30,/m/0jbk,/audiocaps/train/27993.mp3,BKtgRtomE3k,200,/audioldm2/train/102638.wav,/tango/train/102638.wav,/q_anchor/train/102638.mp3
91973,Someone is talking normally as birds squawk in the background,/audiocaps/train/91973.mp3,rffCLoqMnUg,30,/m/0jbk,/audiocaps/train/16409.mp3,5joY7-fda8I,80,/audioldm2/train/91973.wav,/tango/train/91973.wav,/q_anchor/train/91973.mp3
22306,The propellers of a helicopter scream as someone yells,/audiocaps/train/22306.mp3,8Z7xA1HqkRg,70,/t/dd00041,/audiocaps/train/12952.mp3,4FQxw_49xAk,30,/audioldm2/train/22306.wav,/tango/train/22306.wav,/q_anchor/train/22306.mp3
19276,People are talking as rapid beep is ringing,/audiocaps/train/19276.mp3,73tjmACnCqA,30,/t/dd00041,/audiocaps/train/1007.mp3,-N4OU-2tOQ0,30,/audioldm2/train/19276.wav,/tango/train/19276.wav,/q_anchor/train/19276.mp3
100141,Bells ring and sirens sound over a man yelling,/audiocaps/train/100141.mp3,xwDePRPwBOc,70,/m/04rlf,/audiocaps/test/104832.mp3,hJtOGmN_KVw,140,/audioldm2/train/100141.wav,/tango/train/100141.wav,/q_anchor/train/100141.mp3
62697,Emergency vehicle sirens blare multiple times loudly,/audiocaps/train/62697.mp3,XOvnc9II18M,30,/t/dd00041,/audiocaps/train/24679.mp3,9l197QNtGEg,80,/audioldm2/train/62697.wav,/tango/train/62697.wav,/q_anchor/train/62697.mp3
